	mean_PythonSR_PythonFilter_OTFtime	min_PythonSR_PythonFilter_OTFtime	max_PythonSR_PythonFilter_OTFtime	firstquartile_PythonSR_PythonFilter_OTFtime	thirdquartile_PythonSR_PythonFilter_OTFtime	mean_PythonSR_SejitsFilter_OTFtime	min_PythonSR_SejitsFilter_OTFtime	max_PythonSR_SejitsFilter_OTFtime	firstquartile_PythonSR_SejitsFilter_OTFtime	thirdquartile_PythonSR_SejitsFilter_OTFtime	mean_SejitsSR_SejitsFilter_OTFtime	min_SejitsSR_SejitsFilter_OTFtime	max_SejitsSR_SejitsFilter_OTFtime	firstquartile_SejitsSR_SejitsFilter_OTFtime	thirdquartile_SejitsSR_SejitsFilter_OTFtime	mean_CombBLAS_OTFtime	min_CombBLAS_OTFtime	max_CombBLAS_OTFtime	firstquartile_CombBLAS_OTFtime	thirdquartile_CombBLAS_OTFtime	
23.5	35.192654	-	-	-	-	14.786439	-	-	-	-	3.598581	-	-	-	-	3.55962	-	-	-	-	
24.0	35.404892	-	-	-	-	14.803929	-	-	-	-	3.624202	-	-	-	-	3.5462	-	-	-	-	
24.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
25	25.8389840573	25.2026069164	26.5743191242	25.450838387	26.2716733217	11.1081756055	10.0641298294	13.5666129589	10.5718745589	11.2006993294	2.88131302595	2.52138090134	3.16946005821	2.6870200038	3.1036093235	3.172979375	2.47372	3.87468	2.8462575	3.443225	
25.78125	25.516929	-	-	-	-	10.589193	-	-	-	-	2.707795	-	-	-	-	3.7712	-	-	-	-	
26.5625	25.244449	-	-	-	-	10.74076	-	-	-	-	2.680095	-	-	-	-	3.44603	-	-	-	-	
27.34375	25.62658	-	-	-	-	10.566102	-	-	-	-	2.776341	-	-	-	-	3.87468	-	-	-	-	
28.125	25.603549	-	-	-	-	10.565395	-	-	-	-	2.922229	-	-	-	-	3.78555	-	-	-	-	
28.90625	25.583104	-	-	-	-	11.194014	-	-	-	-	2.914933	-	-	-	-	3.17056	-	-	-	-	
29.6875	25.202607	-	-	-	-	10.475988	-	-	-	-	2.543981	-	-	-	-	2.75569	-	-	-	-	
30.46875	26.143316	-	-	-	-	11.202928	-	-	-	-	3.16946	-	-	-	-	3.43481	-	-	-	-	
31.25	25.782065	-	-	-	-	10.676135	-	-	-	-	2.847607	-	-	-	-	2.91717	-	-	-	-	
32.03125	26.041797	-	-	-	-	10.938242	-	-	-	-	2.994965	-	-	-	-	3.09355	-	-	-	-	
32.8125	26.296328	-	-	-	-	11.032152	-	-	-	-	2.981167	-	-	-	-	3.17262	-	-	-	-	
33.59375	26.574319	-	-	-	-	13.385483	-	-	-	-	3.166138	-	-	-	-	3.30631	-	-	-	-	
34.375	26.373707	-	-	-	-	11.356023	-	-	-	-	3.139824	-	-	-	-	3.254	-	-	-	-	
35.15625	25.332151	-	-	-	-	10.7603	-	-	-	-	2.521381	-	-	-	-	2.47695	-	-	-	-	
35.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
35.9375	26.476326	-	-	-	-	13.566613	-	-	-	-	3.167096	-	-	-	-	3.01221	-	-	-	-	
36	16.340109691	15.8777649403	16.6894938946	16.1263369918	16.5389547348	8.17514033616	7.27492904663	13.0941059589	7.46064794064	8.24789369106	2.03169351816	1.78021883965	2.23781895638	1.87821882963	2.17067706585	1.605785625	1.43365	1.77189	1.47513	1.71634	
36.71875	26.19771	-	-	-	-	10.617353	-	-	-	-	2.969351	-	-	-	-	2.82262	-	-	-	-	
37.125	16.246231	-	-	-	-	7.39312	-	-	-	-	1.874024	-	-	-	-	1.46626	-	-	-	-	
37.5	25.428808	-	-	-	-	10.06413	-	-	-	-	2.598646	-	-	-	-	2.47372	-	-	-	-	
38.25	16.298798	-	-	-	-	8.590386	-	-	-	-	1.975084	-	-	-	-	1.56899	-	-	-	-	
39.375	16.107121	-	-	-	-	7.635929	-	-	-	-	1.972145	-	-	-	-	1.53238	-	-	-	-	
40.5	16.448246	-	-	-	-	7.716644	-	-	-	-	2.116609	-	-	-	-	1.6384	-	-	-	-	
41.625	16.413932	-	-	-	-	8.675424	-	-	-	-	2.058467	-	-	-	-	1.77189	-	-	-	-	
42.75	16.603813	-	-	-	-	13.094106	-	-	-	-	2.112624	-	-	-	-	1.74151	-	-	-	-	
43.875	15.954298	-	-	-	-	7.274929	-	-	-	-	1.806051	-	-	-	-	1.43778	-	-	-	-	
45.0	16.183985	-	-	-	-	7.844797	-	-	-	-	1.890803	-	-	-	-	1.50174	-	-	-	-	
46.125	16.453989	-	-	-	-	8.171567	-	-	-	-	2.174709	-	-	-	-	1.6709	-	-	-	-	
47.25	16.511177	-	-	-	-	8.273336	-	-	-	-	2.135325	-	-	-	-	1.64163	-	-	-	-	
48.375	16.432635	-	-	-	-	7.783879	-	-	-	-	2.158581	-	-	-	-	1.65978	-	-	-	-	
49.5	16.047249	-	-	-	-	7.327655	-	-	-	-	1.830691	-	-	-	-	1.45063	-	-	-	-	
50.625	16.624808	-	-	-	-	7.915917	-	-	-	-	2.237819	-	-	-	-	1.77035	-	-	-	-	
51.75	15.877765	-	-	-	-	7.402221	-	-	-	-	1.780219	-	-	-	-	1.43365	-	-	-	-	
52.875	16.548214	-	-	-	-	7.874283	-	-	-	-	2.204319	-	-	-	-	1.72934	-	-	-	-	
54.0	16.689494	-	-	-	-	7.828053	-	-	-	-	2.179627	-	-	-	-	1.67734	-	-	-	-	
